RiverMile,Lat,Long
-7.21,36.8763,-111.547
-7.2,36.8762,-111.5471
-7.19,36.8761,-111.5473
-7.18,36.876,-111.5474
-7.17,36.876,-111.5476
-7.16,36.8759,-111.5477
-7.15,36.8758,-111.5479
-7.14,36.8757,-111.548
-7.13,36.8756,-111.5481
-7.12,36.8755,-111.5483
-7.11,36.8754,-111.5484
-7.1,36.8753,-111.5486
-7.09,36.8752,-111.5487
-7.08,36.8751,-111.5488
-7.07,36.8751,-111.549
-7.06,36.875,-111.5491
-7.05,36.8749,-111.5493
-7.04,36.8748,-111.5494
-7.03,36.8747,-111.5496
-7.02,36.8746,-111.5497
-7.01,36.8745,-111.5498
-7,36.8744,-111.55
-6.99,36.8743,-111.5501
-6.98,36.8742,-111.5503
